TRANSACTION_ID,PATTERN_ID
1,2
3,1
4,3
5,7
6,6
8,10
10,4
11,5
12,9
13,8
14,3
15,11
16,12
17,13
18,1
19,2
20,6
21,7
22,10
23,14
24,8
25,3
26,9
27,4
28,5
29,12
30,11
31,6
32,15
33,2
34,14
35,13
36,15
37,7
38,1
39,4
40,9
41,5
42,6
43,10
44,12
45,3
46,8
47,7
48,2
49,11
50,6
51,14
52,13
53,9
54,10
55,5
56,1
57,3
58,8
59,15
60,4
1,2
3,1
4,3
5,7
6,6
8,10
10,4
11,5
12,9
13,8
14,3
15,11
16,12
17,13
18,1
19,2
20,6
21,7
22,10
23,14
24,8
25,3
26,9
27,4
28,5
29,12
30,11
31,6
32,15
33,2
34,14
35,13
36,15
37,7
38,1
39,4
40,9
41,5
42,6
43,10
44,12
45,3
46,8
47,7
48,2
49,11
50,6
51,14
52,13
53,9
54,10
55,5
56,1
57,3
58,8
59,15
60,4
1,2
3,1
4,3
5,7
6,6
8,10
10,4
11,5
12,9
13,8
14,3
15,11
16,12
17,13
18,1
19,2
20,6
21,7
22,10
23,14
24,8
25,3
26,9
27,4
28,5
29,12
30,11
31,6
32,15
33,2
34,14
35,13
36,15
37,7
38,1
39,4
40,9
41,5
42,6
43,10
44,12
45,3
46,8
47,7
48,2
49,11
50,6
51,14
52,13
53,9
54,10
55,5
56,1
57,3
58,8
59,15
60,4
1,2
3,1
4,3
5,7
6,6
8,10
10,4
11,5
12,9
13,8
14,3
15,11
16,12
17,13
18,1
19,2
20,6
21,7
22,10
23,14
24,8
25,3
26,9
27,4
28,5
29,12
30,11
31,6
32,15
33,2
34,14
35,13
36,15
37,7
38,1
39,4
40,9
41,5
42,6
43,10
44,12
45,3
46,8
47,7
48,2
49,11
50,6
51,14
52,13
53,9
54,10
55,5
56,1
57,3
58,8
59,15
60,4
1,2
3,1
4,3
5,7
6,6
8,10
10,4
11,5
12,9
13,8
14,3
15,11
16,12
17,13
18,1
19,2
20,6
21,7
22,10
23,14
24,8
25,3
26,9
27,4
28,5
29,12
30,11
31,6
32,15
33,2
34,14
35,13
36,15
37,7
38,1
39,4
40,9
41,5
42,6
43,10
44,12
45,3
46,8
47,7
48,2
49,11
50,6
51,14
52,13
53,9
54,10
55,5
56,1
57,3
58,8
59,15
60,4
1,2
3,1
4,3
5,7
6,6
8,10
10,4
11,5
12,9
13,8
14,3
15,11
16,12
17,13
18,1
19,2
20,6
21,7
22,10
23,14
24,8
25,3
26,9
27,4
28,5
29,12
30,11
31,6
32,15
33,2
34,14
35,13
36,15
37,7
38,1
39,4
40,9
41,5
42,6
43,10
44,12
45,3
46,8
47,7
48,2
49,11
50,6
51,14
52,13
53,9
54,10
55,5
56,1
57,3
58,8
59,15
60,4
